英語,日本語,品詞,例文英語１,例文日本語１,例文英語2,例文日本語2,例文英語3,例文日本語3,例文英語4,例文日本語4,last_learned_date,mistake_count,correct_count
historic,"由緒のある,歴史に残る",形容詞,This is a historic building.,これは歴史的建造物です。,The two leaders signed a historic peace treaty.,両首脳は歴史的な平和条約に署名した。,We visited a historic site in Kyoto.,私たちは京都の史跡を訪れた。,This is a historic moment for our country.,これは我が国にとって歴史的な瞬間だ。,,0,0
occasion,"特定の時,行事,祭典",名詞,A wedding is a special occasion.,結婚式は特別な行事だ。,I have met him on several occasions.,私は彼に何度か会ったことがある。,This is not an occasion for laughter.,ここは笑う場面ではない。,He wore a suit for the occasion.,彼はその行事のためにスーツを着ていた。,,0,0
reflection,"反響,反射",名詞,I could see my reflection in the window.,窓に自分の姿が映っていた。,The reflection of the moon on the water was beautiful.,水面に映る月の光は美しかった。,His actions are a reflection of his character.,彼の行動は彼の人格の反映だ。,"After much reflection, I decided to change my job.",熟考の末、私は転職することに決めた。,,0,0
at that time,"あの時は,そのとき",熟語,"At that time, I was living in London.",そのとき、私はロンドンに住んでいた。,I didn't know the truth at that time.,あの時は、私は真実を知らなかった。,"At that time, there were no smartphones.",そのとき、スマートフォンはなかった。,He was a famous singer at that time.,彼はそのとき、有名な歌手だった。,,0,0
behave,"振る舞う,立ち振舞う",動詞,You should behave yourself in public.,人前では行儀よくしなさい。,The children behaved very well at the party.,子供たちはパーティーでとても行儀よくしていた。,How did he behave at the meeting?,彼は会議でどのように振る舞いましたか？,The dog is trained to behave properly.,その犬は行儀よくするように訓練されている。,,0,0
one day,"ある日,いつか",熟語,"One day, a prince came to the village.",ある日、王子が村にやって来た。,I want to travel around the world one day.,いつか世界中を旅したい。,"One day, you will understand what I mean.",いつか、私の言っていることがわかるだろう。,He hopes to become a doctor one day.,彼はいつか医者になりたいと思っている。,,0,0
temporary,"一時的な,短期的な",形容詞,This is just a temporary solution.,これは単なる一時的な解決策だ。,He has a temporary job at the factory.,彼はその工場で臨時の仕事をしている。,The road is closed for temporary repairs.,その道路は一時的な修理のため閉鎖されている。,The pain is only temporary.,その痛みは一時的なものだ。,,0,0
ankle,"足首,くるぶし",名詞,I twisted my ankle while playing soccer.,サッカーをしているときに足首をひねった。,She was wearing a beautiful bracelet on her ankle.,彼女は足首に美しいブレスレットをしていた。,He has a tattoo on his ankle.,彼は足首にタトゥーを入れている。,The water was up to my ankles.,水は私の足首まであった。,,0,0
active,"活動的な,活気のある",形容詞,He is a very active person.,彼はとても活動的な人だ。,She leads an active life.,彼女は活動的な生活を送っている。,It's important to stay active as you get older.,年をとっても活動的でいることは重要だ。,The volcano is still active.,その火山はまだ活動中だ。,,0,0
passage,"一節,節分",名詞,Please read the following passage from the book.,本から次の一節を読んでください。,The passage of time cannot be stopped.,時の経過は止められない。,The narrow passage was difficult to walk through.,その狭い通路は歩きにくかった。,He quoted a passage from the Bible.,彼は聖書から一節を引用した。,,0,0
spread,"を広げる,広がる",動詞,The fire spread quickly through the forest.,火は森の中を急速に広がった。,Please spread the butter evenly on the bread.,パンにバターを均等に塗ってください。,The news of his success spread throughout the town.,彼の成功のニュースは町中に広まった。,The bird spread its wings and flew away.,その鳥は羽を広げて飛び去った。,,0,0
arrange,"整える,を配置する",動詞,Please arrange the books on the shelf.,本棚に本を並べてください。,I need to arrange a meeting with my boss.,私は上司との会議を手配する必要がある。,She arranged the flowers in a vase.,彼女は花瓶に花をいけた。,Everything has been arranged for the party.,パーティーの準備はすべて整っている。,,0,0
